Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
TTLL12	39	269	Two-sample Kolmogorov-Smirnov test	0.16261557525498	0.3286	Lung	0.7062189825718322
TTLL13	39	269	Two-sample Kolmogorov-Smirnov test	0.125917453055	0.6526	Lung	0.9127679287305122
TTN	39	269	Two-sample Kolmogorov-Smirnov test	0.12877704699266	0.6245	Lung	0.8976129540619335
TTPA	39	269	Two-sample Kolmogorov-Smirnov test	0.153560194452388	0.3980	Lung	0.7614640193297616
TTPAL	39	269	Two-sample Kolmogorov-Smirnov test	0.178152702316271	0.2298	Lung	0.6138336168964506
TTR	39	269	Two-sample Kolmogorov-Smirnov test	0.0734915641978839	0.9928	Lung	1
TTYH1	39	269	Two-sample Kolmogorov-Smirnov test	0.0824516252025546	0.9747	Lung	1
TTYH2	39	269	Two-sample Kolmogorov-Smirnov test	0.14097798112668	0.5076	Lung	0.8325298270893372
TTYH3	39	269	Two-sample Kolmogorov-Smirnov test	0.0674864169287961	0.9978	Lung	1
TUB	39	269	Two-sample Kolmogorov-Smirnov test	0.120102945381756	0.7097	Lung	0.9387751597908193
TUBA1A	39	269	Two-sample Kolmogorov-Smirnov test	0.195786864931846	0.1468	Lung	0.5127785768936496
TUBA1B	39	269	Two-sample Kolmogorov-Smirnov test	0.0844533409589172	0.9683	Lung	1
TUBA1C	39	269	Two-sample Kolmogorov-Smirnov test	0.100753026403584	0.8797	Lung	1
TUBA3C	39	269	Two-sample Kolmogorov-Smirnov test	0.0918882851968354	0.9359	Lung	1
TUBA3D	39	269	Two-sample Kolmogorov-Smirnov test	0.0850252597464493	0.9663	Lung	1
TUBA3E	39	269	Two-sample Kolmogorov-Smirnov test	0.206843961490802	0.1084	Lung	0.4511495897903373
TUBA4A	39	269	Two-sample Kolmogorov-Smirnov test	0.171099037270041	0.2716	Lung	0.6543695197777485
TUBA8	39	269	Two-sample Kolmogorov-Smirnov test	0.261080926508436	0.0192	Lung	0.22974402102496713
TUBAL3	39	269	Two-sample Kolmogorov-Smirnov test	0.0995138690305976	0.8887	Lung	1
TUBB	39	269	Two-sample Kolmogorov-Smirnov test	0.157849585358879	0.3641	Lung	0.7368584509389933
TUBB1	39	269	Two-sample Kolmogorov-Smirnov test	0.153083595462778	0.4019	Lung	0.7649078064583551
TUBB2A	39	269	Two-sample Kolmogorov-Smirnov test	0.115718234677342	0.7518	Lung	0.9578021406086045
TUBB2B	39	269	Two-sample Kolmogorov-Smirnov test	0.184539128777047	0.1964	Lung	0.5789245033112583
TUBB3	39	269	Two-sample Kolmogorov-Smirnov test	0.133257077494996	0.5808	Lung	0.8749521308225966
