Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
ATP6AP1L	28	337	Two-sample Kolmogorov-Smirnov test	0.148261975413311	0.6207	LUSC	1
ATP6AP2	28	337	Two-sample Kolmogorov-Smirnov test	0.208880881729546	0.2093	LUSC	1
ATP6C	28	337	Two-sample Kolmogorov-Smirnov test	0.161403136922425	0.5109	LUSC	1
ATP6V0A1	28	337	Two-sample Kolmogorov-Smirnov test	0.124417125900805	0.8184	LUSC	1
ATP6V0A2	28	337	Two-sample Kolmogorov-Smirnov test	0.23314963967783	0.1203	LUSC	1
ATP6V0A4	28	337	Two-sample Kolmogorov-Smirnov test	0.269605765154727	0.0466	LUSC	1
ATP6V0B	28	337	Two-sample Kolmogorov-Smirnov test	0.204641797371768	0.2291	LUSC	1
ATP6V0C	28	337	Two-sample Kolmogorov-Smirnov test	0.164900381517592	0.4831	LUSC	1
ATP6V0D1	28	337	Two-sample Kolmogorov-Smirnov test	0.149003815175922	0.6144	LUSC	1
ATP6V0D2	28	337	Two-sample Kolmogorov-Smirnov test	0.129610004239084	0.7779	LUSC	1
ATP6V0E1	28	337	Two-sample Kolmogorov-Smirnov test	0.155998304366257	0.5553	LUSC	1
ATP6V0E2	28	337	Two-sample Kolmogorov-Smirnov test	0.177193726155151	0.3914	LUSC	1
ATP6V1A	28	337	Two-sample Kolmogorov-Smirnov test	0.0923060618906316	0.9803	LUSC	1
ATP6V1B1	28	337	Two-sample Kolmogorov-Smirnov test	0.159495548961424	0.5264	LUSC	1
ATP6V1B2	28	337	Two-sample Kolmogorov-Smirnov test	0.146884272997033	0.6325	LUSC	1
ATP6V1C1	28	337	Two-sample Kolmogorov-Smirnov test	0.186307757524375	0.3308	LUSC	1
ATP6V1C2	28	337	Two-sample Kolmogorov-Smirnov test	0.110852055955914	0.9085	LUSC	1
ATP6V1D	28	337	Two-sample Kolmogorov-Smirnov test	0.232937685459941	0.1209	LUSC	1
ATP6V1E1	28	337	Two-sample Kolmogorov-Smirnov test	0.176981771937262	0.3929	LUSC	1
ATP6V1E2	28	337	Two-sample Kolmogorov-Smirnov test	0.227850784230606	0.1365	LUSC	1
ATP6V1F	28	337	Two-sample Kolmogorov-Smirnov test	0.197859262399322	0.2636	LUSC	1
ATP6V1G1	28	337	Two-sample Kolmogorov-Smirnov test	0.165960152607037	0.4748	LUSC	1
ATP6V1G2	28	337	Two-sample Kolmogorov-Smirnov test	0.28391267486223	0.0310	LUSC	1
ATP6V1G2-DDX39B	28	337	Two-sample Kolmogorov-Smirnov test	0.146990250105977	0.6316	LUSC	1
ATP6V1H	28	337	Two-sample Kolmogorov-Smirnov test	0.203899957609156	0.2327	LUSC	1
ATP7A	28	337	Two-sample Kolmogorov-Smirnov test	0.174438321322594	0.4110	LUSC	1
ATP7B	28	337	Two-sample Kolmogorov-Smirnov test	0.104493429419245	0.9403	LUSC	1
ATP8A1	28	337	Two-sample Kolmogorov-Smirnov test	0.230924120389996	0.1269	LUSC	1
ATP8A2	28	337	Two-sample Kolmogorov-Smirnov test	0.138406104281475	0.7050	LUSC	1
ATP8B1	28	337	Two-sample Kolmogorov-Smirnov test	0.144022891055532	0.6570	LUSC	1
ATP8B2	28	337	Two-sample Kolmogorov-Smirnov test	0.149533700720644	0.6099	LUSC	1
ATP8B3	28	337	Two-sample Kolmogorov-Smirnov test	0.137770241627808	0.7104	LUSC	1
ATP8B4	28	337	Two-sample Kolmogorov-Smirnov test	0.172106824925816	0.4280	LUSC	1
ATP9A	28	337	Two-sample Kolmogorov-Smirnov test	0.126748622297584	0.8006	LUSC	1
ATP9B	28	337	Two-sample Kolmogorov-Smirnov test	0.153984739296312	0.5721	LUSC	1
ATP10A	28	337	Two-sample Kolmogorov-Smirnov test	0.203582026282323	0.2342	LUSC	1
ATP10B	28	337	Two-sample Kolmogorov-Smirnov test	0.132577363289529	0.7538	LUSC	1
ATP10D	28	337	Two-sample Kolmogorov-Smirnov test	0.0848876642645188	0.9923	LUSC	1
