Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
DPP3	292	1905	Two-sample Kolmogorov-Smirnov test	0.0773846762305397	0.0964	GTEX	0.35438772708922084
DPP4	292	1905	Two-sample Kolmogorov-Smirnov test	0.0411354402617481	0.7849	GTEX	0.9704411948404617
DPP6	292	1905	Two-sample Kolmogorov-Smirnov test	0.0541509366123755	0.4478	GTEX	0.7698068340570134
DPP7	292	1905	Two-sample Kolmogorov-Smirnov test	0.128270952432316	5e-04	GTEX	0.011411027568922306
DPP8	292	1905	Two-sample Kolmogorov-Smirnov test	0.0663826268291806	0.2145	GTEX	0.5366772908366534
DPP9	292	1905	Two-sample Kolmogorov-Smirnov test	0.0571387480674504	0.3802	GTEX	0.7158278093662772
DPP10	292	1905	Two-sample Kolmogorov-Smirnov test	0.105033617373171	0.0075	GTEX	0.0758411993337035
DPPA4	292	1905	Two-sample Kolmogorov-Smirnov test	0.157615143997411	0.0000	GTEX	0
DPPA5	292	1905	Two-sample Kolmogorov-Smirnov test	0.0208463668068888	0.9999	GTEX	1
DPRX	292	1905	Two-sample Kolmogorov-Smirnov test	0.0271437816848236	0.9922	GTEX	1
DPT	292	1905	Two-sample Kolmogorov-Smirnov test	0.0351777945565023	0.9127	GTEX	1
DPY19L1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0547837342250027	0.4329	GTEX	0.7598570052033147
DPY19L2	292	1905	Two-sample Kolmogorov-Smirnov test	0.082110883399849	0.0658	GTEX	0.28545726536445926
DPY19L3	292	1905	Two-sample Kolmogorov-Smirnov test	0.0753766224427426	0.1126	GTEX	0.3852472665789968
DPY19L4	292	1905	Two-sample Kolmogorov-Smirnov test	0.0509420055369791	0.5270	GTEX	0.8272473711429064
DPY30	292	1905	Two-sample Kolmogorov-Smirnov test	0.0446661633049294	0.6933	GTEX	0.9250751446780456
DPYD	292	1905	Two-sample Kolmogorov-Smirnov test	0.0589364685578686	0.3427	GTEX	0.6804679895333624
DPYS	292	1905	Two-sample Kolmogorov-Smirnov test	0.100296623880919	0.0123	GTEX	0.10467644859813084
DPYSL2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0439308956243483	0.7129	GTEX	0.9351966289706836
DPYSL3	292	1905	Two-sample Kolmogorov-Smirnov test	0.0732013806493366	0.1326	GTEX	0.42064295418916564
DPYSL4	292	1905	Two-sample Kolmogorov-Smirnov test	0.138246503433646	1e-04	GTEX	0.003269658886894075
DPYSL5	292	1905	Two-sample Kolmogorov-Smirnov test	0.0351652105130694	0.9129	GTEX	1
DQX1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0357063243806853	0.9034	GTEX	1
DR1	292	1905	Two-sample Kolmogorov-Smirnov test	0.114719735375544	0.0026	GTEX	0.037255074744295825
DRAM1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0427839499514615	0.7430	GTEX	0.9499745332023023
DRAM2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0754143745730414	0.1123	GTEX	0.38443751879699245
DRAP1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0319616725991443	0.9582	GTEX	1
DRAXIN	292	1905	Two-sample Kolmogorov-Smirnov test	0.10305252939273	0.0092	GTEX	0.08641072717895822
DRC1	292	1905	Two-sample Kolmogorov-Smirnov test	0.080430014741308	0.0756	GTEX	0.30919092746463056
