Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
OTX2	41	292	Two-sample Kolmogorov-Smirnov test	0.040260608085533	1.0000	Colon	1
OVCA2	41	292	Two-sample Kolmogorov-Smirnov test	0.176912796525225	0.2105	Colon	1
OVCH1	41	292	Two-sample Kolmogorov-Smirnov test	0.0952221850985633	0.9003	Colon	1
OVCH1-AS1	41	292	Two-sample Kolmogorov-Smirnov test	0.0730036752422318	0.9908	Colon	1
OVGP1	41	292	Two-sample Kolmogorov-Smirnov test	0.111426662211828	0.7634	Colon	1
OVOL1	41	292	Two-sample Kolmogorov-Smirnov test	0.126044102906782	0.6175	Colon	1
OVOL2	41	292	Two-sample Kolmogorov-Smirnov test	0.110674908118944	0.7706	Colon	1
OVOL3	41	292	Two-sample Kolmogorov-Smirnov test	0.0706648847310392	0.9939	Colon	1
OXA1L	41	292	Two-sample Kolmogorov-Smirnov test	0.185015035081858	0.1705	Colon	1
OXCT1	41	292	Two-sample Kolmogorov-Smirnov test	0.123538255930504	0.6428	Colon	1
OXCT2	41	292	Two-sample Kolmogorov-Smirnov test	0.230955562980287	0.0432	Colon	0.7629351351351351
OXER1	41	292	Two-sample Kolmogorov-Smirnov test	0.171734046107584	0.2395	Colon	1
OXGR1	41	292	Two-sample Kolmogorov-Smirnov test	0.133227530905446	0.5460	Colon	1
OXLD1	41	292	Two-sample Kolmogorov-Smirnov test	0.150601403274307	0.3886	Colon	1
OXNAD1	41	292	Two-sample Kolmogorov-Smirnov test	0.0909622452388907	0.9274	Colon	1
OXR1	41	292	Two-sample Kolmogorov-Smirnov test	0.10958904109589	0.7809	Colon	1
OXSM	41	292	Two-sample Kolmogorov-Smirnov test	0.141830938857334	0.4647	Colon	1
OXSR1	41	292	Two-sample Kolmogorov-Smirnov test	0.151269629134648	0.3831	Colon	1
OXT	41	292	Two-sample Kolmogorov-Smirnov test	0.146926161042432	0.4195	Colon	1
OXTR	41	292	Two-sample Kolmogorov-Smirnov test	0.179669228199131	0.1961	Colon	1
P2RX1	41	292	Two-sample Kolmogorov-Smirnov test	0.135983962579352	0.5194	Colon	1
P2RX2	41	292	Two-sample Kolmogorov-Smirnov test	0.179669228199131	0.1961	Colon	1
P2RX3	41	292	Two-sample Kolmogorov-Smirnov test	0.0874540594721015	0.9462	Colon	1
P2RX4	41	292	Two-sample Kolmogorov-Smirnov test	0.144503842298697	0.4407	Colon	1
P2RX5	41	292	Two-sample Kolmogorov-Smirnov test	0.183845639826261	0.1759	Colon	1
P2RX5-TAX1BP3	41	292	Two-sample Kolmogorov-Smirnov test	0.159455395923822	0.3201	Colon	1
P2RX6	41	292	Two-sample Kolmogorov-Smirnov test	0.108503174072837	0.7911	Colon	1
P2RX7	41	292	Two-sample Kolmogorov-Smirnov test	0.111760775141998	0.7602	Colon	1
P2RY1	41	292	Two-sample Kolmogorov-Smirnov test	0.11309722686268	0.7473	Colon	1
P2RY2	41	292	Two-sample Kolmogorov-Smirnov test	0.180755095222185	0.1907	Colon	1
P2RY4	41	292	Two-sample Kolmogorov-Smirnov test	0.0817741396592048	0.9698	Colon	1
P2RY6	41	292	Two-sample Kolmogorov-Smirnov test	0.175743401269629	0.2168	Colon	1
P2RY8	41	292	Two-sample Kolmogorov-Smirnov test	0.215085198797193	0.0718	Colon	0.8609743926460931
P2RY10	41	292	Two-sample Kolmogorov-Smirnov test	0.245907116605413	0.0259	Colon	0.6728827389443651
P2RY11	41	292	Two-sample Kolmogorov-Smirnov test	0.129886401603742	0.5790	Colon	1
P2RY12	41	292	Two-sample Kolmogorov-Smirnov test	0.106414968259272	0.8102	Colon	1
P2RY13	41	292	Two-sample Kolmogorov-Smirnov test	0.17833277647845	0.2030	Colon	1
P2RY14	41	292	Two-sample Kolmogorov-Smirnov test	0.0841129301703976	0.9611	Colon	1
P4HA1	41	292	Two-sample Kolmogorov-Smirnov test	0.176829268292683	0.2109	Colon	1
P4HA2	41	292	Two-sample Kolmogorov-Smirnov test	0.182425659873037	0.1826	Colon	1
P4HA3	41	292	Two-sample Kolmogorov-Smirnov test	0.196625459405279	0.1241	Colon	0.9547293721028235
P4HB	41	292	Two-sample Kolmogorov-Smirnov test	0.186435015035082	0.1642	Colon	1
P4HTM	41	292	Two-sample Kolmogorov-Smirnov test	0.0921316404944872	0.9204	Colon	1
PA2G4	41	292	Two-sample Kolmogorov-Smirnov test	0.108503174072837	0.7911	Colon	1
PAAF1	41	292	Two-sample Kolmogorov-Smirnov test	0.128132308720348	0.5965	Colon	1
PABPC1	41	292	Two-sample Kolmogorov-Smirnov test	0.126879385232209	0.6091	Colon	1
PABPC1L	41	292	Two-sample Kolmogorov-Smirnov test	0.118275977280321	0.6959	Colon	1
PABPC3	41	292	Two-sample Kolmogorov-Smirnov test	0.166638823922486	0.2709	Colon	1
PABPC4	41	292	Two-sample Kolmogorov-Smirnov test	0.14492148346141	0.4370	Colon	1
PABPC4L	41	292	Two-sample Kolmogorov-Smirnov test	0.158118944203141	0.3299	Colon	1
PABPC5	41	292	Two-sample Kolmogorov-Smirnov test	0.128466421650518	0.5932	Colon	1
PABPN1	41	292	Two-sample Kolmogorov-Smirnov test	0.0933845639826262	0.9125	Colon	1
PABPN1L	41	292	Two-sample Kolmogorov-Smirnov test	0.12854994988306	0.5923	Colon	1
PACRG	41	292	Two-sample Kolmogorov-Smirnov test	0.123287671232877	0.6453	Colon	1
PACRGL	41	292	Two-sample Kolmogorov-Smirnov test	0.167641162712997	0.2645	Colon	1
PACS1	41	292	Two-sample Kolmogorov-Smirnov test	0.161543601737387	0.3052	Colon	1
PACS2	41	292	Two-sample Kolmogorov-Smirnov test	0.123371199465419	0.6445	Colon	1
PACSIN1	41	292	Two-sample Kolmogorov-Smirnov test	0.116688940862011	0.7118	Colon	1
PACSIN2	41	292	Two-sample Kolmogorov-Smirnov test	0.0977280320748413	0.8823	Colon	1
PACSIN3	41	292	Two-sample Kolmogorov-Smirnov test	0.145589709321751	0.4311	Colon	1
PADI1	41	292	Two-sample Kolmogorov-Smirnov test	0.131974607417307	0.5583	Colon	1
PADI2	41	292	Two-sample Kolmogorov-Smirnov test	0.134731039091213	0.5314	Colon	1
