Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
C8orf76	15	97	Two-sample Kolmogorov-Smirnov test	0.115463917525773	0.9951	Liver	1
C8orf82	15	97	Two-sample Kolmogorov-Smirnov test	0.347079037800687	0.0874	Liver	1
C8orf87	15	97	Two-sample Kolmogorov-Smirnov test	0.0206185567010309	1.0000	Liver	1
C9	15	97	Two-sample Kolmogorov-Smirnov test	0.25085910652921	0.3870	Liver	1
C9orf3	15	97	Two-sample Kolmogorov-Smirnov test	0.25979381443299	0.3445	Liver	1
C9orf9	15	97	Two-sample Kolmogorov-Smirnov test	0.1553264604811	0.9126	Liver	1
C9orf16	15	97	Two-sample Kolmogorov-Smirnov test	0.292096219931271	0.2176	Liver	1
C9orf24	15	97	Two-sample Kolmogorov-Smirnov test	0.189003436426117	0.7422	Liver	1
C9orf37	15	97	Two-sample Kolmogorov-Smirnov test	0.224742268041237	0.5279	Liver	1
C9orf40	15	97	Two-sample Kolmogorov-Smirnov test	0.127147766323024	0.9846	Liver	1
C9orf41	15	97	Two-sample Kolmogorov-Smirnov test	0.11340206185567	0.9962	Liver	1
C9orf43	15	97	Two-sample Kolmogorov-Smirnov test	0.152577319587629	0.9229	Liver	1
C9orf47	15	97	Two-sample Kolmogorov-Smirnov test	0.256357388316151	0.3605	Liver	1
C9orf50	15	97	Two-sample Kolmogorov-Smirnov test	0.114089347079038	0.9959	Liver	1
C9orf53	15	97	Two-sample Kolmogorov-Smirnov test	0.0721649484536083	1.0000	Liver	1
C9orf64	15	97	Two-sample Kolmogorov-Smirnov test	0.213745704467354	0.5930	Liver	1
C9orf66	15	97	Two-sample Kolmogorov-Smirnov test	0.327835051546392	0.1225	Liver	1
C9orf69	15	97	Two-sample Kolmogorov-Smirnov test	0.150515463917526	0.9301	Liver	1
C9orf72	15	97	Two-sample Kolmogorov-Smirnov test	0.160824742268041	0.8900	Liver	1
C9orf78	15	97	Two-sample Kolmogorov-Smirnov test	0.134707903780069	0.9725	Liver	1
C9orf84	15	97	Two-sample Kolmogorov-Smirnov test	0.222680412371134	0.5399	Liver	1
C9orf85	15	97	Two-sample Kolmogorov-Smirnov test	0.130584192439863	0.9797	Liver	1
C9orf89	15	97	Two-sample Kolmogorov-Smirnov test	0.254982817869416	0.3670	Liver	1
C9orf91	15	97	Two-sample Kolmogorov-Smirnov test	0.237800687285223	0.4546	Liver	1
C9orf92	15	97	Two-sample Kolmogorov-Smirnov test	0.0666666666666667	1.0000	Liver	1
C9orf96	15	97	Two-sample Kolmogorov-Smirnov test	0.260481099656357	0.3414	Liver	1
C9orf114	15	97	Two-sample Kolmogorov-Smirnov test	0.238487972508591	0.4509	Liver	1
C9orf116	15	97	Two-sample Kolmogorov-Smirnov test	0.202061855670103	0.6638	Liver	1
C9orf117	15	97	Two-sample Kolmogorov-Smirnov test	0.305154639175258	0.1778	Liver	1
C9orf129	15	97	Two-sample Kolmogorov-Smirnov test	0.189003436426117	0.7422	Liver	1
C9orf131	15	97	Two-sample Kolmogorov-Smirnov test	0.214432989690722	0.5888	Liver	1
C9orf135	15	97	Two-sample Kolmogorov-Smirnov test	0.102405498281787	0.9992	Liver	1
C9orf139	15	97	Two-sample Kolmogorov-Smirnov test	0.290034364261168	0.2245	Liver	1
C9orf142	15	97	Two-sample Kolmogorov-Smirnov test	0.116838487972509	0.9943	Liver	1
C9orf147	15	97	Two-sample Kolmogorov-Smirnov test	0.181443298969072	0.7858	Liver	1
C9orf152	15	97	Two-sample Kolmogorov-Smirnov test	0.317525773195876	0.1456	Liver	1
C9orf153	15	97	Two-sample Kolmogorov-Smirnov test	0.284536082474227	0.2436	Liver	1
C9orf156	15	97	Two-sample Kolmogorov-Smirnov test	0.229553264604811	0.5003	Liver	1
C9orf163	15	97	Two-sample Kolmogorov-Smirnov test	0.213058419243986	0.5971	Liver	1
C9orf169	15	97	Two-sample Kolmogorov-Smirnov test	0.213058419243986	0.5971	Liver	1
C9orf170	15	97	Two-sample Kolmogorov-Smirnov test	0.123024054982818	0.9894	Liver	1
C9orf172	15	97	Two-sample Kolmogorov-Smirnov test	0.342268041237113	0.0953	Liver	1
C9orf173	15	97	Two-sample Kolmogorov-Smirnov test	0.160824742268041	0.8900	Liver	1
C10orf2	15	97	Two-sample Kolmogorov-Smirnov test	0.160137457044674	0.8930	Liver	1
C10orf10	15	97	Two-sample Kolmogorov-Smirnov test	0.232302405498282	0.4848	Liver	1
C10orf11	15	97	Two-sample Kolmogorov-Smirnov test	0.239175257731959	0.4472	Liver	1
C10orf12	15	97	Two-sample Kolmogorov-Smirnov test	0.21786941580756	0.5683	Liver	1
C10orf25	15	97	Two-sample Kolmogorov-Smirnov test	0.257731958762887	0.3540	Liver	1
C10orf32	15	97	Two-sample Kolmogorov-Smirnov test	0.129209621993127	0.9818	Liver	1
C10orf32-ASMT	15	97	Two-sample Kolmogorov-Smirnov test	0.0412371134020619	1.0000	Liver	1
C10orf35	15	97	Two-sample Kolmogorov-Smirnov test	0.294845360824742	0.2087	Liver	1
C10orf54	15	97	Two-sample Kolmogorov-Smirnov test	0.250171821305842	0.3904	Liver	1
C10orf55	15	97	Two-sample Kolmogorov-Smirnov test	0.202749140893471	0.6596	Liver	1
C10orf62	15	97	Two-sample Kolmogorov-Smirnov test	0.223367697594502	0.5359	Liver	1
C10orf67	15	97	Two-sample Kolmogorov-Smirnov test	0.181443298969072	0.7858	Liver	1
C10orf68	15	97	Two-sample Kolmogorov-Smirnov test	0.26872852233677	0.3052	Liver	1
C10orf71	15	97	Two-sample Kolmogorov-Smirnov test	0.144329896907217	0.9495	Liver	1
C10orf76	15	97	Two-sample Kolmogorov-Smirnov test	0.285223367697594	0.2412	Liver	1
C10orf82	15	97	Two-sample Kolmogorov-Smirnov test	0.237800687285223	0.4546	Liver	1
C10orf85	15	97	Two-sample Kolmogorov-Smirnov test	0.192439862542955	0.7218	Liver	1
C10orf88	15	97	Two-sample Kolmogorov-Smirnov test	0.34020618556701	0.0988	Liver	1
C10orf90	15	97	Two-sample Kolmogorov-Smirnov test	0.151890034364261	0.9253	Liver	1
C10orf91	15	97	Two-sample Kolmogorov-Smirnov test	0.0920962199312715	0.9999	Liver	1
C10orf95	15	97	Two-sample Kolmogorov-Smirnov test	0.171134020618557	0.8413	Liver	1
C10orf99	15	97	Two-sample Kolmogorov-Smirnov test	0.18213058419244	0.7819	Liver	1
C10orf105	15	97	Two-sample Kolmogorov-Smirnov test	0.356013745704467	0.0743	Liver	1
C10orf107	15	97	Two-sample Kolmogorov-Smirnov test	0.516838487972509	0.0019	Liver	0.587483870967742
C10orf111	15	97	Two-sample Kolmogorov-Smirnov test	0.243298969072165	0.4254	Liver	1
C10orf112	15	97	Two-sample Kolmogorov-Smirnov test	0.182817869415808	0.7780	Liver	1
C10orf118	15	97	Two-sample Kolmogorov-Smirnov test	0.273539518900344	0.2854	Liver	1
C10orf128	15	97	Two-sample Kolmogorov-Smirnov test	0.289347079037801	0.2268	Liver	1
C10orf129	15	97	Two-sample Kolmogorov-Smirnov test	0.0666666666666667	1.0000	Liver	1
C10orf131	15	97	Two-sample Kolmogorov-Smirnov test	0.158762886597938	0.8988	Liver	1
C10orf137	15	97	Two-sample Kolmogorov-Smirnov test	0.160824742268041	0.8900	Liver	1
C11orf1	15	97	Two-sample Kolmogorov-Smirnov test	0.227491408934708	0.5121	Liver	1
C11orf16	15	97	Two-sample Kolmogorov-Smirnov test	0.101718213058419	0.9993	Liver	1
C11orf21	15	97	Two-sample Kolmogorov-Smirnov test	0.460481099656357	0.0081	Liver	0.8224774193548386
C11orf24	15	97	Two-sample Kolmogorov-Smirnov test	0.296219931271478	0.2044	Liver	1
C11orf30	15	97	Two-sample Kolmogorov-Smirnov test	0.175945017182131	0.8161	Liver	1
C11orf31	15	97	Two-sample Kolmogorov-Smirnov test	0.134020618556701	0.9738	Liver	1
C11orf35	15	97	Two-sample Kolmogorov-Smirnov test	0.175945017182131	0.8161	Liver	1
C11orf42	15	97	Two-sample Kolmogorov-Smirnov test	0.168384879725086	0.8550	Liver	1
C11orf45	15	97	Two-sample Kolmogorov-Smirnov test	0.254982817869416	0.3670	Liver	1
C11orf48	15	97	Two-sample Kolmogorov-Smirnov test	0.246048109965636	0.4112	Liver	1
C11orf49	15	97	Two-sample Kolmogorov-Smirnov test	0.197938144329897	0.6888	Liver	1
C11orf52	15	97	Two-sample Kolmogorov-Smirnov test	0.243298969072165	0.4254	Liver	1
C11orf53	15	97	Two-sample Kolmogorov-Smirnov test	0.152577319587629	0.9229	Liver	1
C11orf54	15	97	Two-sample Kolmogorov-Smirnov test	0.265979381443299	0.3170	Liver	1
C11orf57	15	97	Two-sample Kolmogorov-Smirnov test	0.265292096219931	0.3200	Liver	1
C11orf58	15	97	Two-sample Kolmogorov-Smirnov test	0.232989690721649	0.4810	Liver	1
C11orf63	15	97	Two-sample Kolmogorov-Smirnov test	0.142955326460481	0.9533	Liver	1
C11orf65	15	97	Two-sample Kolmogorov-Smirnov test	0.171821305841924	0.8377	Liver	1
C11orf68	15	97	Two-sample Kolmogorov-Smirnov test	0.248797250859107	0.3972	Liver	1
C11orf70	15	97	Two-sample Kolmogorov-Smirnov test	0.166323024054983	0.8650	Liver	1
C11orf71	15	97	Two-sample Kolmogorov-Smirnov test	0.239175257731959	0.4472	Liver	1
C11orf72	15	97	Two-sample Kolmogorov-Smirnov test	0.363573883161512	0.0645	Liver	1
C11orf73	15	97	Two-sample Kolmogorov-Smirnov test	0.227491408934708	0.5121	Liver	1
C11orf74	15	97	Two-sample Kolmogorov-Smirnov test	0.290034364261168	0.2245	Liver	1
C11orf80	15	97	Two-sample Kolmogorov-Smirnov test	0.172508591065292	0.8342	Liver	1
C11orf82	15	97	Two-sample Kolmogorov-Smirnov test	0.224054982817869	0.5319	Liver	1
C11orf83	15	97	Two-sample Kolmogorov-Smirnov test	0.148453608247423	0.9370	Liver	1
C11orf84	15	97	Two-sample Kolmogorov-Smirnov test	0.186941580756014	0.7543	Liver	1
C11orf85	15	97	Two-sample Kolmogorov-Smirnov test	0.271477663230241	0.2938	Liver	1
C11orf86	15	97	Two-sample Kolmogorov-Smirnov test	0.136082474226804	0.9697	Liver	1
C11orf88	15	97	Two-sample Kolmogorov-Smirnov test	0.12233676975945	0.9900	Liver	1
C11orf89	15	97	Two-sample Kolmogorov-Smirnov test	0.221993127147766	0.5439	Liver	1
C11orf91	15	97	Two-sample Kolmogorov-Smirnov test	0.151202749140893	0.9278	Liver	1
C11orf94	15	97	Two-sample Kolmogorov-Smirnov test	0.0920962199312715	0.9999	Liver	1
C11orf96	15	97	Two-sample Kolmogorov-Smirnov test	0.335395189003436	0.1076	Liver	1
C12orf4	15	97	Two-sample Kolmogorov-Smirnov test	0.218556701030928	0.5642	Liver	1
C12orf5	15	97	Two-sample Kolmogorov-Smirnov test	0.206185567010309	0.6387	Liver	1
C12orf10	15	97	Two-sample Kolmogorov-Smirnov test	0.150515463917526	0.9301	Liver	1
C12orf23	15	97	Two-sample Kolmogorov-Smirnov test	0.387628865979381	0.0403	Liver	1
C12orf29	15	97	Two-sample Kolmogorov-Smirnov test	0.105841924398625	0.9986	Liver	1
C12orf36	15	97	Two-sample Kolmogorov-Smirnov test	0.0920962199312715	0.9999	Liver	1
C12orf39	15	97	Two-sample Kolmogorov-Smirnov test	0.131958762886598	0.9774	Liver	1
C12orf42	15	97	Two-sample Kolmogorov-Smirnov test	0.145017182130584	0.9476	Liver	1
C12orf43	15	97	Two-sample Kolmogorov-Smirnov test	0.156013745704467	0.9099	Liver	1
C12orf44	15	97	Two-sample Kolmogorov-Smirnov test	0.263230240549828	0.3290	Liver	1
C12orf45	15	97	Two-sample Kolmogorov-Smirnov test	0.10446735395189	0.9989	Liver	1
C12orf49	15	97	Two-sample Kolmogorov-Smirnov test	0.147079037800687	0.9414	Liver	1
C12orf50	15	97	Two-sample Kolmogorov-Smirnov test	0.123024054982818	0.9894	Liver	1
C12orf52	15	97	Two-sample Kolmogorov-Smirnov test	0.147766323024055	0.9392	Liver	1
C12orf54	15	97	Two-sample Kolmogorov-Smirnov test	0.206872852233677	0.6345	Liver	1
C12orf55	15	97	Two-sample Kolmogorov-Smirnov test	0.15807560137457	0.9016	Liver	1
C12orf56	15	97	Two-sample Kolmogorov-Smirnov test	0.152577319587629	0.9229	Liver	1
C12orf57	15	97	Two-sample Kolmogorov-Smirnov test	0.235051546391753	0.4696	Liver	1
C12orf60	15	97	Two-sample Kolmogorov-Smirnov test	0.217182130584192	0.5724	Liver	1
C12orf61	15	97	Two-sample Kolmogorov-Smirnov test	0.160137457044674	0.8930	Liver	1
C12orf65	15	97	Two-sample Kolmogorov-Smirnov test	0.239862542955326	0.4435	Liver	1
C12orf66	15	97	Two-sample Kolmogorov-Smirnov test	0.178006872852234	0.8049	Liver	1
