Name	AveExpr	t	logFC	P.Value	Adj pval	B
GSTM1	5.0225771436342255	1.9050909070479563	1.7983599968686788	0.06008906600558156	0.9988043761587608	-3.944579407038387
F8A3	4.616112248567238	3.280419274784452	1.6729489354932143	0.001492811022648583	0.5792444555836856	-1.5530477594435226
NPIPB15	3.3268435217561936	3.0146743184644818	1.6417610070568944	0.003370438822036243	0.7140374071597828	-2.0931754219927408
CACNG6	1.0950523160171768	4.537272549260113	1.6238008553146368	1.8124959339958054e-5	0.06601835189986321	1.3976922793829445
CLSTN2	5.8377223059394705	3.3898811850689996	1.4815354581819657	0.0010550632620854124	0.5554891412133518	-1.3219194423908576
SEPT1	0.1906553106966939	2.5529197614976944	1.3522613358290165	0.012430661651733062	0.9948869884698386	-2.9480127983245343
MSLN	2.764240227203013	2.6424010713371375	1.348816474325214	0.00975970163682257	0.9639916027616545	-2.790991225878347
PNMA6A	0.6157640759635655	4.8929633285948535	1.3408009677863115	4.505373987853408e-6	0.020512967766696564	2.3265548097169866
NPY1R	6.404603587853123	2.132197354355527	1.3221821568110368	0.03582390085241078	0.9988043761587608	-3.623888570427183
AL022328.1	2.728450435482141	1.061118484999457	1.3136845875739216	0.2915882514715172	0.9988043761587608	-4.84173947262973
PRAME	2.0067278429715865	2.2872180705396716	1.2965118362258459	0.024610095034287124	0.9988043761587608	-3.3867109661744244
AL109927.1	2.0706784031717085	1.550618810542665	1.2039945574677495	0.12464230392393091	0.9988043761587608	-4.379560686988984
RP11-463D19.2	1.1587506540803765	1.674299856243014	1.074245225683409	0.09767437669839867	0.9988043761587608	-4.23707318584179
ZNF788	2.50296244379232	2.1279683260031677	1.0308153301538294	0.03616598461296407	0.9988043761587608	-3.6299500386057177
WISP2	7.06898581161434	2.6612966188226577	1.0078870510255467	0.009277319418064643	0.9639916027616545	-2.7578895524782143
NPIPA8	2.6399128799836475	1.8652899032517285	1.0042195969289311	0.06550922225547677	0.9988043761587608	-3.997363679028205
NDUFC2-KCTD14	1.506921242351278	2.072830208616146	0.9967063041931733	0.04114500275590902	0.9988043761587608	-3.7106237602768655
CNTNAP2	1.8240483598802566	1.9359975206347613	0.9870027635645875	0.056113636110670086	0.9988043761587608	-3.902709176912353
CNTNAP3B	5.013298279904599	3.1714846727586186	0.9850546985174606	0.00209481492964381	0.6753879594655432	-1.778197978210951
ABCA8	6.544659123716295	2.7456201278941825	0.9848014884665046	0.007342663114083298	0.9639916027616545	-2.6052376962322326
DSCR8	0.37756591626035835	2.684296044289654	0.9847751515860063	0.008699880051522117	0.9639916027616545	-2.716091261499907
FABP6	1.0986898521517987	2.159716834426944	0.9734111271046135	0.033543789751678994	0.9988043761587608	-3.582667978079234
AL353791.1	4.1837077095948	3.363368316210591	0.950608844783102	0.0011453909413974496	0.5554891412133518	-1.3766548058299208
GPM6A	3.8343229269914176	2.339796018044583	0.9488702554787247	0.021581404131397655	0.9988043761587608	-3.303026110255743
SERPINB7	1.450033503952055	2.4010636461969903	0.9262237510779712	0.01847472140739704	0.9988043761587608	-3.203536949951247
DNAH10	2.298090383204996	4.3166327158519735	0.9176018801251058	4.1689496682498725e-5	0.10846415908309526	0.8405329392622223
CTLA4	2.71716338718218	2.85081710045267	0.9141704074810315	0.005441681085165456	0.8651363930397509	-2.408897141668
LGALS4	3.1378650392501255	3.9854722045338864	0.9120832717597827	1.3939998027219378e-4	0.20073196438823193	0.03193433530751211
GRIA1	2.732902171108735	2.3090041455117323	0.9091684803647309	0.023309001104216208	0.9988043761587608	-3.352163693117569
C6orf141	4.887248298157059	2.204433727389178	0.8901622311171824	0.03013236424971478	0.9988043761587608	-3.5150500448831306
NKG2-E	1.7032764751682632	2.2176917511781498	0.8859603934545204	0.02917819803956953	0.9988043761587608	-3.494728503332767
OLFM4	5.392714030531019	1.4319618281137243	0.8844330528571502	0.1557564607203187	0.9988043761587608	-4.506653600157538
ACSM1	3.873897033302915	2.150063617428024	0.8841323365503166	0.03432247522220018	0.9988043761587608	-3.597102249619086
AL356356.1	2.028126190678123	1.5702650242658516	0.8822158402761784	0.11998414559965165	0.9988043761587608	-4.357579132550614
FAM155B	2.343837422008191	2.9720069502664463	0.8789017967282882	0.0038230442712837705	0.724894546115288	-2.176409572786709
NAT1	5.503274057440782	1.73711187337045	0.8741253587466824	0.08592504910181632	0.9988043761587608	-4.16088774657974
ADH1B	9.332628855924858	1.2897587550704028	0.8710165541777846	0.2005703118927109	0.9988043761587608	-4.646386090381396
ALG1L	2.832674980767089	2.0415531578476984	0.8662408208746535	0.04422059413014648	0.9988043761587608	-3.7555282639979968
ANXA8L1	4.212785027034632	1.562217572223261	0.8632899871601696	0.12186867688537188	0.9988043761587608	-4.366605112902656
HMGCS2	5.972480184768249	1.125729452542662	0.8594330664235628	0.26339208631606753	0.9988043761587608	-4.79023974798748
C4BPA	3.758481712545402	1.8804641067766805	0.8544218066382134	0.06338793399503903	0.9988043761587608	-3.977313504923056
PIGY	3.192858930610468	0.7155146911944901	0.8344967886954038	0.47621701195161537	0.9988043761587608	-5.066767041684958
PTCHD3	2.238371584624428	2.639020431773126	0.833271404065974	0.009847173809062202	0.9639916027616545	-2.796827353490197
PNLDC1	2.302868443061451	2.3101496776903847	0.8280936258126435	0.023240939619642336	0.9988043761587608	-3.350311582986501
C11orf21	2.7001608868832268	3.040896641641711	0.8273644571134078	0.0031143584444615104	0.7140374071597828	-2.0409595382068475
ANXA8L2	5.396220621961296	1.4331643716797775	0.8259782585297053	0.15541348660962223	0.9988043761587608	-4.505413174600397
