Gene	MeanAA	MeanEA	logFC	Std Error	t	pvalue	padj
A1BG	5.8427246490720455	5.945016428169107	-0.10229177909706166	0.22898781123536213	-0.44671276844479024	0.6553984444501539	0.9994339823020948
A2M	10.421302657643611	10.563606206545915	-0.14230354890230323	0.21346742473422875	-0.6666288736067062	0.5055115283618401	0.9994339823020948
A2ML1	1.2990152468794234	1.5736346673957926	-0.27461942051636923	0.4124558324615184	-0.6658153404631292	0.5060307279816436	0.9994339823020948
A4GALT	5.700812741559186	5.7724053907627955	-0.07159264920360986	0.2292652854277511	-0.3122699063228699	0.7550480910356887	0.9994339823020948
A4GNT	1.7063237145636683	1.4901411467111347	0.21618256785253354	0.2102622196966528	1.02815697543963	0.30468801111196203	0.9994339823020948
AAAS	6.683077392332729	6.615623055174112	0.06745433715861715	0.09473680473205688	0.7120182842285799	0.4769959469513304	0.9994339823020948
AACS	5.854644475935486	5.704121026387676	0.15052344954781027	0.12010759274113571	1.2532384182591099	0.21107569516088157	0.9994339823020948
AADAC	5.744030885839626	5.292080688623782	0.45195019721584373	0.42303850481233257	1.0683429335027952	0.2862079152515642	0.9994339823020948
AADAT	4.953378610312073	4.661777658479997	0.2916009518320761	0.19595734552496033	1.4880838023749055	0.13775857277717501	0.9994339823020948
AAED1	5.818552617771158	5.960227989037756	-0.14167537126659813	0.1123044751452875	-1.2615291695483524	0.20807907399990727	0.9994339823020948
AAGAB	6.26732868120648	6.308165477117843	-0.04083679591136313	0.08470351962672645	-0.4821145106050342	0.6300692564321657	0.9994339823020948
AAK1	4.3701949454457445	4.3971732188489145	-0.02697827340317005	0.13795820140276985	-0.19555396583061277	0.8450890830295831	0.9994339823020948
AAMDC	7.325320937992666	7.182416217960232	0.14290472003243426	0.11885827146023094	1.2023119491540737	0.23017223918196536	0.9994339823020948
AAMP	7.612811819671895	7.516905790960548	0.09590602871134646	0.06423846051187548	1.4929689775740613	0.13647562598713722	0.9994339823020948
AANAT	1.2335531730557467	1.16668005944048	0.06687311361526671	0.18497448760187127	0.36152614602290806	0.7179556611281284	0.9994339823020948
AAR2	6.632736122560944	6.566499087358343	0.06623703520260094	0.07624370376028551	0.8687541650764226	0.3856624695928038	0.9994339823020948
AARD	4.456049122224248	4.383133001788126	0.07291612043612172	0.3256622473800468	0.22390105399914179	0.8229837083856327	0.9994339823020948
AARS	7.295717864366088	7.167983102345268	0.12773476202082001	0.11678549987977717	1.0937553219561877	0.27492255184299214	0.9994339823020948
AARS2	4.935256772034328	4.8164841768197535	0.1187725952145744	0.11604231822227769	1.0235282872155906	0.30686659438259023	0.9994339823020948
AARSD1	6.675607369145357	6.576920286808938	0.09868708233641943	0.08293587838812526	1.1899202643587052	0.23500012213769375	0.9994339823020948
AASDH	4.949272749046571	4.878433074155497	0.07083967489107401	0.10819550190013422	0.6547377076401929	0.5131284758758008	0.9994339823020948
AASDHPPT	5.956463381056186	5.986666110469519	-0.03020272941333335	0.09525255453653739	-0.31708051884055305	0.7513987332765502	0.9994339823020948
AASS	5.399142246069223	5.366403344323498	0.03273890174572536	0.20485493548046196	0.15981504994712625	0.8731322074463681	0.9994339823020948
