Gene	Difference of means	Std Error	t	pvalue	padj
A1BG	-0.028647690716808505	0.21063400501980095	-0.13600696010179095	0.8919442320307702	0.9991758869744348
A2M	0.12781385071299134	0.15961263637682463	0.8007752619989278	0.42415405988308574	0.9935532599101082
A2ML1	-0.09304088899215468	0.18788244093061174	-0.4952080063006862	0.6209637711124203	0.9991758869744348
A4GALT	0.082060212169484	0.12070339243113418	0.6798500896841192	0.49733758890350543	0.9959261072613645
A4GNT	-0.15863206435879995	0.24437198940607335	-0.6491417643419057	0.5169460785346656	0.9959261072613645
AAAS	-0.023949812123794878	0.05772739904870635	-0.4148777273611045	0.6786489789605263	0.9991758869744348
AACS	0.015462453765668904	0.06405028049096294	0.24141117957868352	0.8094686880202375	0.9991758869744348
AADAC	0.11129005636343214	0.11880840792344083	0.9367186911144079	0.34996413125416403	0.9914516539947493
AADAT	-0.13232898021152106	0.13849378342437485	-0.9554867874902118	0.34041473681928336	0.9914516539947493
AAED1	0.040136934199773044	0.06574967295263034	0.6104507048831997	0.5422140744680898	0.9967752891306402
AAGAB	0.015449038977549456	0.055337132657715435	0.27918033037795026	0.7803773221411802	0.9991758869744348
AAK1	0.022373449019347014	0.13179648537738373	0.1697575542722803	0.8653619288253112	0.9991758869744348
AAMDC	0.008038524258841662	0.07165141537191326	0.11218932964711112	0.9107789450330808	0.9991758869744348
AAMP	0.010485650341713892	0.049965972004227234	0.2098558262976808	0.8339807906385088	0.9991758869744348
AANAT	0.0012740227722471964	0.12700324091021886	0.010031419380453674	0.9920056087821505	0.9995573445670562
AAR2	-0.04050676415855392	0.04714654483541382	-0.8591671839359801	0.3912141659934233	0.9935532599101082
AARD	0.22944289825995545	0.2865712490014948	0.8006487010103329	0.42422718472588994	0.9935532599101082
AARS	-0.060332410507128564	0.07069724997036861	-0.8533911931852474	0.39440106612556824	0.9935532599101082
AARS2	-0.01751429695461404	0.07786165759135624	-0.22494122905185077	0.8222406466896833	0.9991758869744348
AARSD1	-0.05926653574536278	0.06528806865580508	-0.9077697803838022	0.36502574866252946	0.9931162320738174
AASDH	-0.002013031821106459	0.0646664284626589	-0.031129472725849826	0.9751954343653062	0.9991758869744348
AASDHPPT	0.04562831321736738	0.060524454307574534	0.7538822735268688	0.4517524852001824	0.9937206236254831
AASS	0.10020547601444374	0.14084635936039364	0.7114523688755123	0.4775823772724892	0.9948646344845139
AATF	-0.0731197259913996	0.058309202329956	-1.2539997645249004	0.21121658469875665	0.9702533915521662
AATK	-0.09998655785489818	0.1645071353435956	-0.6077946567245404	0.5439711487496746	0.9967752891306402
ABAT	-0.22480049480610464	0.21181590069739611	-1.0613013190509175	0.2897548660426964	0.9865467440667472
ABCA1	0.010000062430062684	0.1224993429272338	0.08163360056553814	0.9350147376260312	0.9991758869744348
ABCA2	0.11981779491300504	0.10419374640672709	1.1499518833432523	0.25145317314494475	0.9831890240831715
ABCA3	-0.07146235400053325	0.12686878128683174	-0.5632776895599504	0.5738382807341222	0.9967752891306402
ABCA4	-0.12288076813334481	0.21480463954498982	-0.5720582590470911	0.5678857500349725	0.9967752891306402
ABCA5	0.2213679769052348	0.11528762266082394	1.920136540212119	0.05617637095887082	0.8899827196727996
ABCA6	-0.03935965636025607	0.2533262983085235	-0.1553713792174879	0.8766756853485816	0.9991758869744348
ABCA7	0.05995080900947691	0.09837989505228638	0.6093806969159157	0.5429215814269939	0.9967752891306402
ABCA8	-0.23602117225954622	0.29783073898527324	-0.7924674701600116	0.42896989386245543	0.9935532599101082
ABCA9	-0.049975240051271186	0.22080846176293076	-0.22632846428198347	0.821163004395292	0.9991758869744348
ABCA10	0.19794303523426882	0.18802372846530388	1.0527556114854693	0.29364581880269847	0.9881154226646083
ABCA12	-0.24808027065709926	0.24594403943824994	-1.0086858426157779	0.3142698066710184	0.9881154226646083
ABCA13	-0.2911476035751872	0.3465375776781644	-0.8401617092319528	0.40175979692944364	0.9935532599101082
ABCB1	-0.3850751551270788	0.2645636263413544	-1.4555105720777877	0.14700022277140753	0.9577866218314454
ABCB4	-0.4283123277952976	0.2350491445081763	-1.822224576445538	0.06982323506122073	0.899891640636474
ABCB5	0.06686993034946642	0.373436146104194	0.1790665714796895	0.858055644459344	0.9991758869744348
ABCB6	-0.21426257029224427	0.1301506872516696	-1.6462653775921239	0.1011837994162296	0.9419508102849954
ABCB7	0.03898075041100846	0.05934152696812108	0.6568882265525345	0.5119618999387028	0.9959261072613645
ABCB8	-0.08226533132307079	0.07357343543139921	-1.1181390516931347	0.2647671079063446	0.9831890240831715
ABCB9	0.08102028268828931	0.10796628008959727	0.7504221005026156	0.4538286775240129	0.9937206236254831
ABCB10	-0.01915269358355509	0.0664765792646562	-0.28811190039283596	0.7735412365912705	0.9991758869744348
ABCB11	0.033785812457336195	0.07256703489099782	0.4655807214403277	0.641991336039296	0.9991758869744348
ABCC1	-0.15876055318795768	0.09507770408877099	-1.6697979269643286	0.09642827128831029	0.9371954167342404
ABCC2	-0.31089610912737875	0.37422677332796206	-0.830769285592824	0.40703422735516426	0.9935532599101082
ABCC3	-0.26014623503234713	0.21109476928137533	-1.2323670355165903	0.21917059181544823	0.9709861187330204
ABCC4	-0.1416124840993902	0.12330193089499818	-1.1485017555806565	0.25204964314353917	0.9831890240831715
ABCC5	0.08324983488184312	0.12372012508906453	0.6728883827260329	0.5017476715643548	0.9959261072613645
ABCC6	-0.2844112882335059	0.22748891180821026	-1.2502204435936877	0.21259081506251676	0.9705490059319654
