Gene	Difference of means	Std Error	t	pvalue	padj
A1BG	-0.03797077965716422	0.12815420848378148	-0.29628975986356004	0.7670396294642052	0.9995031685494042
A2M	-0.07028017275831466	0.10091479286441711	-0.6964308280624305	0.48624015250518715	0.9995031685494042
A2ML1	0.04452832797149142	0.182527267675826	0.24395438850580448	0.8072912171085629	0.9995031685494042
A4GALT	0.001534741174705978	0.10681306760821421	0.014368477650462614	0.9885374439630388	0.9995031685494042
A4GNT	0.09629192408861087	0.13248364057714926	0.7268212412425151	0.46742069905181516	0.9995031685494042
AAAS	0.0051209763077251225	0.04152367813098714	0.12332665453120306	0.9018608512568942	0.9995031685494042
AACS	0.029394399468102073	0.05860791384663222	0.5015431797320519	0.6160442087019682	0.9995031685494042
AADAC	0.23590624179910802	0.186569414942908	1.2644422016936567	0.2062189779016693	0.9995031685494042
AADAT	-0.04750745399910894	0.09827854381018564	-0.48339599018545126	0.6288676157634061	0.9995031685494042
AAED1	-0.09114315527265493	0.05868481165602059	-1.553096153854732	0.12055869857288926	0.9995031685494042
AAGAB	0.01329520275629914	0.045771019744307403	0.2904720679279312	0.7714852919692745	0.9995031685494042
AAK1	-0.05024179595898737	0.08094485150784239	-0.6206916811024066	0.5348733687426812	0.9995031685494042
AAMDC	-0.01847166020003055	0.05542774700950695	-0.33325655825163336	0.7389756301039913	0.9995031685494042
AAMP	0.022905522585422666	0.03468216603201889	0.6604409472083168	0.5090471117878456	0.9995031685494042
AANAT	0.08945408149578449	0.11454804524074275	0.780930668068417	0.4349358807860225	0.9995031685494042
AAR2	-0.017599294538618082	0.03924314432145688	-0.4484680023204807	0.6538641519804687	0.9995031685494042
AARD	-0.10287503462951131	0.17751264030001093	-0.5795363893841253	0.5622927026766773	0.9995031685494042
AARS	0.004760961640297268	0.05412087111589252	0.08796905042607893	0.9299100994218878	0.9995031685494042
AARS2	0.01405230652372147	0.053965803150148935	0.26039279883639954	0.7945876560071854	0.9995031685494042
AARSD1	0.10085628843224281	0.04318728323245207	2.335323754666205	0.019625133449540477	0.9995031685494042
AASDH	-0.02046047254590544	0.05130282096710395	-0.39881768994778993	0.6900702022761244	0.9995031685494042
AASDHPPT	-0.022057377286074598	0.04314795688031182	-0.511203284717735	0.6092652595101592	0.9995031685494042
AASS	0.015011864163518851	0.10611629443118095	0.14146615507059962	0.8875159713864098	0.9995031685494042
AATF	-0.042060683603375004	0.04249436549432404	-0.9897943671848222	0.3223946080624811	0.9995031685494042
AATK	0.07988318604335598	0.12256056997310769	0.6517853667038591	0.5146146836270633	0.9995031685494042
ABAT	-0.05799241780829245	0.11940940890305352	-0.48566037082869673	0.6272612909804354	0.9995031685494042
ABCA1	-0.09707066070600945	0.09465860558115126	-1.0254816253635843	0.3052602514276875	0.9995031685494042
ABCA2	0.11443249091330454	0.07955075687073122	1.4384839995835064	0.15045354902216598	0.9995031685494042
ABCA3	-0.049632597186755945	0.1460586384811029	-0.3398128156122544	0.7340332492811861	0.9995031685494042
ABCA4	0.04496199630614717	0.1979424080700575	0.22714685925329264	0.8203328095618232	0.9995031685494042
ABCA5	0.23500099628454496	0.08266359994135235	2.842859450244993	0.004516553699595119	0.845412235795088
ABCA6	-0.12884786908829726	0.14132039650849038	-0.9117429066975213	0.36201417103080513	0.9995031685494042
ABCA7	0.2197940783569523	0.0937591627060058	2.3442410534973055	0.019163425197265518	0.9995031685494042
ABCA8	-0.02790357094110174	0.16363129982431043	-0.17052709946728759	0.8646129071914661	0.9995031685494042
ABCA9	-0.06404786030226539	0.13119660815857476	-0.48818228764612576	0.6254743523198074	0.9995031685494042
ABCA10	0.19313394801051986	0.12924147217348209	1.4943651195126768	0.13523827888762133	0.9995031685494042
ABCA12	-0.198590604717098	0.17592811027356295	-1.128816790041657	0.25911077960834966	0.9995031685494042
ABCA13	0.22209989675680486	0.19017861191641328	1.1678489737553743	0.24300716919324222	0.9995031685494042
ABCB1	-0.06408088297011272	0.14472605384572104	-0.4427736490239924	0.6579774435857655	0.9995031685494042
ABCB4	-0.018784686275711948	0.14547175720345157	-0.129129438159191	0.8972682387560855	0.9995031685494042
ABCB5	0.09671660451062325	0.1549290045796507	0.624264028372429	0.5325255461129421	0.9995031685494042
ABCB6	0.009605477707109067	0.0977172948014503	0.09829864535879992	0.9217050238342218	0.9995031685494042
ABCB7	-0.04334196093090448	0.04182077067147221	-1.036374036991861	0.30015321517583304	0.9995031685494042
ABCB8	0.04280403294960511	0.052821528692791886	0.8103520289719714	0.4178344828631504	0.9995031685494042
ABCB9	0.102137737409425	0.07897219918827864	1.293337889273124	0.19604387996310793	0.9995031685494042
ABCB10	-0.054503001151142705	0.0476370489046977	-1.1441305119504983	0.25270670290893094	0.9995031685494042
ABCB11	0.013566519946830946	0.08038007255001861	0.1687796429692051	0.8659870722752395	0.9995031685494042
ABCC1	0.025857769332916725	0.08236470772420251	0.31394234311498115	0.7535976364520485	0.9995031685494042
ABCC2	-0.17139624861342906	0.20112307318615075	-0.8521958515162115	0.3942076364168522	0.9995031685494042
ABCC3	0.0770837838082814	0.1558176185920736	0.49470518484873466	0.6208626870506055	0.9995031685494042
ABCC4	-0.09352404086323052	0.09796665677608851	-0.9546517554129464	0.3398694341641074	0.9995031685494042
ABCC5	0.11598716559782307	0.09278993324699294	1.249997295386371	0.21144707053996226	0.9995031685494042
ABCC6	-0.14106796756119078	0.13811819523468374	-1.0213568699004134	0.3072091643489597	0.9995031685494042
ABCC8	0.10438232346402598	0.2054190933572765	0.5081432390633637	0.6114090444068152	0.9995031685494042
