Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
TXNRD3	292	Hartigans' dip test for unimodality / multimodality	0.0142865823435341	0.9813	black or african american	GTEX	1
TXNRD3NB	292	Hartigans' dip test for unimodality / multimodality	0.0748246085823031	0.0000	black or african american	GTEX	0
TYK2	292	Hartigans' dip test for unimodality / multimodality	0.0159818404554251	0.9232	black or african american	GTEX	1
TYMP	292	Hartigans' dip test for unimodality / multimodality	0.0173918151962744	0.8359	black or african american	GTEX	1
TYMS	292	Hartigans' dip test for unimodality / multimodality	0.0148326265518426	0.9668	black or african american	GTEX	1
TYR	292	Hartigans' dip test for unimodality / multimodality	0.0156499977119765	0.9390	black or african american	GTEX	1
TYRO3	292	Hartigans' dip test for unimodality / multimodality	0.0150684677227144	0.9600	black or african american	GTEX	1
TYROBP	292	Hartigans' dip test for unimodality / multimodality	0.0193406255657544	0.6758	black or african american	GTEX	1
TYRP1	292	Hartigans' dip test for unimodality / multimodality	0.0439774768625145	3e-04	black or african american	GTEX	0.003990942293644996
TYSND1	292	Hartigans' dip test for unimodality / multimodality	0.0188019186753465	0.7235	black or african american	GTEX	1
TYW1	292	Hartigans' dip test for unimodality / multimodality	0.0154247962702093	0.9498	black or african american	GTEX	1
TYW3	292	Hartigans' dip test for unimodality / multimodality	0.0131731747199438	0.9913	black or african american	GTEX	1
TYW5	292	Hartigans' dip test for unimodality / multimodality	0.018305564458423	0.7660	black or african american	GTEX	1
U2AF1	292	Hartigans' dip test for unimodality / multimodality	0.012627585728547	0.9926	black or african american	GTEX	1
U2AF1L4	292	Hartigans' dip test for unimodality / multimodality	0.0253710178345281	0.2145	black or african american	GTEX	1
U2AF2	292	Hartigans' dip test for unimodality / multimodality	0.0139127566379793	0.9872	black or african american	GTEX	1
U2SURP	292	Hartigans' dip test for unimodality / multimodality	0.0138867556784827	0.9876	black or african american	GTEX	1
U82695.9	292	Hartigans' dip test for unimodality / multimodality	0.0337395433946645	0.0189	black or african american	GTEX	0.15264159645232817
UACA	292	Hartigans' dip test for unimodality / multimodality	0.0132885041061681	0.9910	black or african american	GTEX	1
UAP1	292	Hartigans' dip test for unimodality / multimodality	0.0139411892004531	0.9868	black or african american	GTEX	1
UAP1L1	292	Hartigans' dip test for unimodality / multimodality	0.0112363455269449	0.9958	black or african american	GTEX	1
UBA1	292	Hartigans' dip test for unimodality / multimodality	0.0149224674911237	0.9642	black or african american	GTEX	1
UBA2	292	Hartigans' dip test for unimodality / multimodality	0.0183813766720626	0.7595	black or african american	GTEX	1
UBA3	292	Hartigans' dip test for unimodality / multimodality	0.0207866908405502	0.5446	black or african american	GTEX	1
UBA5	292	Hartigans' dip test for unimodality / multimodality	0.0193979443594058	0.6705	black or african american	GTEX	1
UBA6	292	Hartigans' dip test for unimodality / multimodality	0.0138393639080885	0.9884	black or african american	GTEX	1
UBA7	292	Hartigans' dip test for unimodality / multimodality	0.0154111092497992	0.9503	black or african american	GTEX	1
UBA52	292	Hartigans' dip test for unimodality / multimodality	0.0160958353125337	0.9178	black or african american	GTEX	1
UBAC1	292	Hartigans' dip test for unimodality / multimodality	0.0169574559831568	0.8661	black or african american	GTEX	1
UBAC2	292	Hartigans' dip test for unimodality / multimodality	0.0188353781683758	0.7206	black or african american	GTEX	1
UBALD1	292	Hartigans' dip test for unimodality / multimodality	0.0130958312145267	0.9915	black or african american	GTEX	1
UBALD2	292	Hartigans' dip test for unimodality / multimodality	0.0136983512023182	0.9901	black or african american	GTEX	1
UBAP1	292	Hartigans' dip test for unimodality / multimodality	0.0198424004926942	0.6299	black or african american	GTEX	1
UBAP1L	292	Hartigans' dip test for unimodality / multimodality	0.015221570601146	0.9557	black or african american	GTEX	1
UBAP2	292	Hartigans' dip test for unimodality / multimodality	0.0168191032193817	0.8757	black or african american	GTEX	1
UBAP2L	292	Hartigans' dip test for unimodality / multimodality	0.0168067200026065	0.8766	black or african american	GTEX	1
UBASH3A	292	Hartigans' dip test for unimodality / multimodality	0.0133668189476528	0.9909	black or african american	GTEX	1
UBASH3B	292	Hartigans' dip test for unimodality / multimodality	0.0157337617258533	0.9350	black or african american	GTEX	1
UBB	292	Hartigans' dip test for unimodality / multimodality	0.0128424255264446	0.9921	black or african american	GTEX	1
