Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
METTL15	674	Hartigans' dip test for unimodality / multimodality	0.00972445685843338	0.9754	white	BRCA	1
METTL16	674	Hartigans' dip test for unimodality / multimodality	0.00995448990442389	0.9655	white	BRCA	1
METTL17	674	Hartigans' dip test for unimodality / multimodality	0.0119492974790234	0.8023	white	BRCA	1
METTL18	674	Hartigans' dip test for unimodality / multimodality	0.00949462114026539	0.9829	white	BRCA	1
METTL20	674	Hartigans' dip test for unimodality / multimodality	0.00932894112253977	0.9869	white	BRCA	1
METTL21A	674	Hartigans' dip test for unimodality / multimodality	0.0121258981959911	0.7801	white	BRCA	1
METTL21B	674	Hartigans' dip test for unimodality / multimodality	0.011242339104041	0.8759	white	BRCA	1
METTL22	674	Hartigans' dip test for unimodality / multimodality	0.0122185320546865	0.7682	white	BRCA	1
METTL23	674	Hartigans' dip test for unimodality / multimodality	0.00964148935521782	0.9790	white	BRCA	1
METTL24	674	Hartigans' dip test for unimodality / multimodality	0.0111275964391691	0.8879	white	BRCA	1
METTL25	674	Hartigans' dip test for unimodality / multimodality	0.0125985346125025	0.7193	white	BRCA	1
MEX3A	674	Hartigans' dip test for unimodality / multimodality	0.00820616441931004	0.9937	white	BRCA	1
MEX3B	674	Hartigans' dip test for unimodality / multimodality	0.0102390635890188	0.9533	white	BRCA	1
MEX3C	674	Hartigans' dip test for unimodality / multimodality	0.00809286443310262	0.9942	white	BRCA	1
MEX3D	674	Hartigans' dip test for unimodality / multimodality	0.0103571942046763	0.9470	white	BRCA	1
MFAP1	674	Hartigans' dip test for unimodality / multimodality	0.0139532158351748	0.5357	white	BRCA	1
MFAP2	674	Hartigans' dip test for unimodality / multimodality	0.0127093577757345	0.7051	white	BRCA	1
MFAP3	674	Hartigans' dip test for unimodality / multimodality	0.0154397397205437	0.3545	white	BRCA	1
MFAP3L	674	Hartigans' dip test for unimodality / multimodality	0.00936018037874004	0.9861	white	BRCA	1
MFAP4	674	Hartigans' dip test for unimodality / multimodality	0.01489042046949	0.4161	white	BRCA	1
MFAP5	674	Hartigans' dip test for unimodality / multimodality	0.0118732843423623	0.8102	white	BRCA	1
MFF	674	Hartigans' dip test for unimodality / multimodality	0.0131658281556834	0.6428	white	BRCA	1
MFGE8	674	Hartigans' dip test for unimodality / multimodality	0.00783110910525348	0.9951	white	BRCA	1
MFHAS1	674	Hartigans' dip test for unimodality / multimodality	0.009062104831758	0.9905	white	BRCA	1
MFI2	674	Hartigans' dip test for unimodality / multimodality	0.00829328595612734	0.9934	white	BRCA	1
MFN1	674	Hartigans' dip test for unimodality / multimodality	0.0122378571099171	0.7657	white	BRCA	1
MFN2	674	Hartigans' dip test for unimodality / multimodality	0.0104731575755655	0.9386	white	BRCA	1
MFNG	674	Hartigans' dip test for unimodality / multimodality	0.00997686992430439	0.9645	white	BRCA	1
MFSD1	674	Hartigans' dip test for unimodality / multimodality	0.00959121647905411	0.9806	white	BRCA	1
MFSD2A	674	Hartigans' dip test for unimodality / multimodality	0.00785784687570622	0.9950	white	BRCA	1
MFSD2B	674	Hartigans' dip test for unimodality / multimodality	0.0143182164111643	0.4874	white	BRCA	1
MFSD3	674	Hartigans' dip test for unimodality / multimodality	0.0117350120265316	0.8246	white	BRCA	1
MFSD4	674	Hartigans' dip test for unimodality / multimodality	0.0115737985012394	0.8414	white	BRCA	1
MFSD5	674	Hartigans' dip test for unimodality / multimodality	0.0111328653376816	0.8873	white	BRCA	1
MFSD6	674	Hartigans' dip test for unimodality / multimodality	0.0103861559359627	0.9449	white	BRCA	1
MFSD6L	674	Hartigans' dip test for unimodality / multimodality	0.0111311930225656	0.8875	white	BRCA	1
MFSD7	674	Hartigans' dip test for unimodality / multimodality	0.00788108774242641	0.9950	white	BRCA	1
MFSD8	674	Hartigans' dip test for unimodality / multimodality	0.0121314391536719	0.7794	white	BRCA	1
MFSD9	674	Hartigans' dip test for unimodality / multimodality	0.0107722626907936	0.9172	white	BRCA	1
MFSD10	674	Hartigans' dip test for unimodality / multimodality	0.00927385299315282	0.9882	white	BRCA	1
MFSD11	674	Hartigans' dip test for unimodality / multimodality	0.0122788821692102	0.7604	white	BRCA	1
MFSD12	674	Hartigans' dip test for unimodality / multimodality	0.0116627860983668	0.8321	white	BRCA	1
MGA	674	Hartigans' dip test for unimodality / multimodality	0.0120497110316563	0.7899	white	BRCA	1
MGAM	674	Hartigans' dip test for unimodality / multimodality	0.0172111461462329	0.1949	white	BRCA	1
MGARP	674	Hartigans' dip test for unimodality / multimodality	0.0123488302418646	0.7514	white	BRCA	1
MGAT1	674	Hartigans' dip test for unimodality / multimodality	0.0118707493665876	0.8104	white	BRCA	1
