Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
SUN1	97	Hartigans' dip test for unimodality / multimodality	0.0340915146712156	0.5989	white	Liver	1
SUN2	97	Hartigans' dip test for unimodality / multimodality	0.0298973015631081	0.8133	white	Liver	1
SUN3	97	Hartigans' dip test for unimodality / multimodality	0.0373321048294385	0.4324	white	Liver	1
SUOX	97	Hartigans' dip test for unimodality / multimodality	0.0255945107494647	0.9569	white	Liver	1
SUPT3H	97	Hartigans' dip test for unimodality / multimodality	0.0305673947419635	0.7826	white	Liver	1
SUPT4H1	97	Hartigans' dip test for unimodality / multimodality	0.0386575670312565	0.3719	white	Liver	1
SUPT5H	97	Hartigans' dip test for unimodality / multimodality	0.0275396889864509	0.9067	white	Liver	1
SUPT6H	97	Hartigans' dip test for unimodality / multimodality	0.0244410729422038	0.9763	white	Liver	1
SUPT7L	97	Hartigans' dip test for unimodality / multimodality	0.0220965337052562	0.9916	white	Liver	1
SUPT16H	97	Hartigans' dip test for unimodality / multimodality	0.0478638539566301	0.0992	white	Liver	0.8306346666666666
SUPT20H	97	Hartigans' dip test for unimodality / multimodality	0.0376134085969935	0.4187	white	Liver	1
SUPV3L1	97	Hartigans' dip test for unimodality / multimodality	0.0393489889992839	0.3426	white	Liver	1
SURF1	97	Hartigans' dip test for unimodality / multimodality	0.0340210604996686	0.6026	white	Liver	1
SURF2	97	Hartigans' dip test for unimodality / multimodality	0.0240562268820073	0.9815	white	Liver	1
SURF4	97	Hartigans' dip test for unimodality / multimodality	0.0337306881213763	0.6183	white	Liver	1
SURF6	97	Hartigans' dip test for unimodality / multimodality	0.0344738972839079	0.5785	white	Liver	1
SUSD1	97	Hartigans' dip test for unimodality / multimodality	0.0277688277779715	0.9002	white	Liver	1
SUSD2	97	Hartigans' dip test for unimodality / multimodality	0.0324819408623958	0.6856	white	Liver	1
SUSD3	97	Hartigans' dip test for unimodality / multimodality	0.0366509215150088	0.4658	white	Liver	1
SUSD4	97	Hartigans' dip test for unimodality / multimodality	0.0270817460059613	0.9196	white	Liver	1
SUSD5	97	Hartigans' dip test for unimodality / multimodality	0.0309278350515464	0.7646	white	Liver	1
SUV39H1	97	Hartigans' dip test for unimodality / multimodality	0.0371281627569345	0.4424	white	Liver	1
SUV39H2	97	Hartigans' dip test for unimodality / multimodality	0.0243461296383297	0.9779	white	Liver	1
SUV420H1	97	Hartigans' dip test for unimodality / multimodality	0.0240473323695231	0.9816	white	Liver	1
SUV420H2	97	Hartigans' dip test for unimodality / multimodality	0.0269936680551096	0.9221	white	Liver	1
SUZ12	97	Hartigans' dip test for unimodality / multimodality	0.025476568865635	0.9589	white	Liver	1
SV2A	97	Hartigans' dip test for unimodality / multimodality	0.0300403829528677	0.8074	white	Liver	1
