ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04530	Tight junction	156	-0.471471250847859	-1.75594709254196	0.000226808800181447	0.0464378425151428	0.0425060343388034	3850	tags=42%, list=23%, signal=32%	PRKAB2/AMOTL1/MSN/ACTR3/ARHGEF18/NF2/MAPK8/JUN/ROCK1/VASP/AMOT/PPP2CB/F11R/MYH10/ACTR3C/MAPK9/PPP2R2A/MPP4/ACTN4/CTTN/MYH9/PARD6G/CD1C/PRKAA1/SLC9A3R1/PRKAG3/DLG2/CLDN3/CACNA1D/ACTN1/CFTR/MYH14/CD1A/CLDN7/ITGB1/RUNX1/TUBA4A/PRKCE/PPP2R2B/ERBB2/RHOA/RAP2C/MAP3K5/GATA4/CLDN1/MAGI1/CLDN2/TJP2/CLDN16/CLDN6/YBX3/CLDN4/EPB41L4B/RAPGEF2/CCND1/CRB3/MARVELD3/MARVELD2/CLDN14/TJP3/MAPK10/CLDN8/CLDN9/CLDN10
hsa04964	Proximal tubule bicarbonate reclamation	21	-0.691062387357997	-1.86406321449645	0.000288433804441881	0.0464378425151428	0.0425060343388034	1150	tags=43%, list=7%, signal=40%	CA4/SLC9A3/ATP1A2/PCK1/ATP1B1/GLUD2/CA2/SLC4A4
