Gene	pv_race	pv_gender	pv_condition	pv_age	Residual
A1BG	5.93943265356028e-07	1.22972725586782e-10	2.35233112438507e-210	0.315550188563526	1362.31977305147
A2M	1.81508374898074e-07	0.00167358515685865	3.13336572234465e-273	0.243658434245902	844.739847816028
A2ML1	0.00107503286488712	1.056793763725e-20	0	0.246409671682103	2763.55950512958
A4GALT	0.168643771317955	1.58663390872149e-23	3.02260559851193e-242	0.13755181795929	946.372453706287
A4GNT	0.00976074256892947	4.82330083599252e-09	2.57972553731873e-240	0.295073800750076	1455.9210405867
AAAS	0.0095401719718145	0.0650591759973251	1.50840721643113e-118	0.666196620276295	143.022691545127
AACS	0.00783077801129876	0.00896613374479759	2.85293245371541e-127	0.0208659879184161	284.92190582806
AADAC	0.371269953737715	7.98863567486251e-05	0	0.917436800728689	2887.31531276865
AADAT	0.661156154414137	1.40358351496809e-06	5.69327900039681e-84	0.100449938515899	801.181183077253
AAED1	9.64057473632496e-10	0.432915027701954	5.80271953361735e-233	0.808495892522019	285.670072504911
AAGAB	0.686307697951672	0.0373950625531026	2.01303355396613e-192	0.514687645289293	173.777878667883
AAK1	0.000575757252114985	0.0832603296230232	5.56610341994021e-142	0.732745232040623	543.490273532369
AAMDC	0.921361468874775	0.483679404251034	3.52624413576307e-194	0.679419374101109	254.84010004613
AAMP	0.0521486719921365	0.0892838442284589	6.23713604689515e-37	0.46799533655766	99.7759199624357
AANAT	0.194339582616541	0.202645349685016	7.63194843026109e-09	0.35260468924146	1088.40036704459
AAR2	0.224381088721736	0.00360285188379745	4.52358909274799e-97	0.181150449886276	127.744117365434
AARD	0.103703800552966	0.172978819278737	2.9213206035235e-37	0.213060405850288	2613.79716274733
AARS	0.546342381675237	0.697240358693433	6.2975473140618e-33	0.593179067063313	242.964527266403
AARS2	0.036349592281971	0.180763265030778	5.18598770616767e-23	0.725091904319403	241.574230352778
AARSD1	2.12813934729439e-11	0.918217881780523	1.3126965703496e-57	0.454613875683792	154.712386243411
AASDH	0.0100618804527189	0.00392106176108052	2.36901134746487e-26	0.706651965408315	218.32114839923
AASDHPPT	0.128393404097383	0.000990960067202431	1.17437792594568e-134	0.281942455554546	154.430752245809
AASS	0.637342626599616	0.403863079572611	8.94346979020754e-45	0.637844247342488	934.065791181604
AATF	0.730888316056096	4.07416618052802e-15	5.97938675046516e-95	0.42748573320885	149.787651894034
AATK	0.966390348745025	2.05083982725866e-15	1.54005862706215e-194	0.999057960430371	1245.99086653017
ABAT	0.972870497873802	2.34531264119056e-11	1.14753683934664e-240	0.817127022383918	1182.74306941267
ABCA1	1.82089246873534e-05	0.00168341370062997	2.78486601257478e-141	0.378138021978436	743.247607653304
ABCA2	0.000672862426975421	3.07887821704616e-22	7.18687698179541e-241	0.885170304670163	524.930668714537
ABCA3	0.0109372086174654	1.39504801897793e-12	7.47781085072935e-214	0.072074365333151	1769.57025979329
ABCA4	0.000580668094539184	5.92256043227865e-11	2.27181948340566e-221	0.885602276777529	3250.05726802545
ABCA5	3.38002534970432e-06	0.108868124982656	1.3599127481122e-70	0.379751785407153	566.815795139852
ABCA6	0.000700999872510158	0.000197986925929868	3.39383280792616e-67	0.451988562785589	1656.62041657062
ABCA7	1.10963228170243e-07	3.59042219415231e-10	5.27161608148028e-234	0.145386669611111	729.190086158524
ABCA8	0.0704147039966021	2.41262673861598e-13	1.67349677373737e-158	0.331384178686326	2220.98730098185
ABCA9	0.0116991281582007	8.25774715611177e-05	2.03827324258219e-44	0.42748226684325	1427.77091084274
ABCA10	0.0184828509052482	5.58975197387176e-06	1.19394688659474e-31	0.362760080337191	1385.53374493818
ABCA12	0.000296796489959351	7.18398645851641e-34	3.51288404155577e-263	0.208060232523642	2567.34238260552
ABCA13	0.254226079081942	3.19030790196431e-05	0	0.625480951442423	3000.10642670606
ABCB1	6.78682425309435e-07	6.44810383200794e-11	0	0.0839188325949765	1737.42775948141
ABCB4	0.0876668466907422	0.00101145197118656	3.98278499905291e-179	0.0817361970329461	1755.3781353032
ABCB5	0.0169554218206019	0.000938069082743452	4.83548825899361e-20	0.716487876993299	1991.03445648729
ABCB6	0.228080729333905	8.51664999831167e-10	1.5923859127985e-65	0.783378170081783	792.056542797188
ABCB7	0.0232401771907889	0.657368090667427	3.228824370077e-103	0.342892993299972	145.076603113771
ABCB8	3.30560180228573e-06	0.00120560313455765	3.78114026437022e-146	0.93610365025043	231.438308488599
ABCB9	0.019785611606897	2.23057249507981e-05	5.2989950094623e-108	0.836590921613991	517.322990375341
ABCB10	0.184266892185024	3.70189063654076e-06	5.36805087626967e-219	0.349130667018352	188.236142102988
ABCB11	0.930685002803289	0.326899755807352	3.6188498053897e-53	0.545521291272328	535.932510134298
ABCC1	0.185604551159867	8.43427565315229e-09	2.16733075434775e-188	0.228001723682487	562.724259226684
ABCC2	0.467524783122231	5.46628701940921e-29	1.1775078832099e-214	0.0888415301424496	3355.34443111974
ABCC3	0.14651054533685	6.24842451615021e-05	8.92683224990357e-108	0.933441893944532	2013.93959329428
ABCC4	0.00225572010042453	9.95279837297638e-45	0	0.475151899262439	796.104153661808
ABCC5	0.143718351094591	1.69457062692469e-33	0	0.8187126631043	714.192095827449
ABCC6	0.230461404745535	0.00797097695093384	1.3153471658534e-268	0.903743119044292	1582.39573813918
ABCC8	0.678190492993092	2.36305825801939e-25	5.93015974737085e-103	0.459254589022491	3500.21668738744
ABCC9	1.84419568792862e-08	0.464306621143278	1.83228139749662e-172	0.732935743705814	1358.33411398075
