Gene	pv_race	pv_gender	pv_condition	pv_age	Residual
A1BG	0.0018895795432499	0.0553322310728525	0	2.67719487109118e-05	974.028162751801
A2M	0.00262242520384716	0.00372252208269263	0	0.00111486872219846	891.429480176138
A2ML1	0.464238151161789	0.0740657096208537	1.14868947805163e-200	0.959805346882002	9628.21189887892
A4GALT	0.718095588087675	0.133600446594293	3.37768617377948e-268	1.34318404128813e-08	936.627277892145
A4GNT	3.88371417417478e-05	0.606992979068221	1.09957892531155e-188	0.628013413485736	1940.97459553401
AAAS	0.0358916448358601	0.68660040841319	1.49569362784227e-167	0.00665921701222523	199.357382087034
AACS	0.131418096648033	0.0761826230776044	4.18639243230611e-169	0.0068357351985468	555.210501997023
AADAC	0.333598851658436	0.0242962025935583	0	0.367556866195731	3940.03538570806
AADAT	0.0192026997636479	0.243067320990189	2.81005577405503e-147	0.0358320363218694	874.871058492995
AAED1	0.016534934750062	0.128306677534188	1.32256777880668e-219	0.931457052209944	459.635753611682
AAGAB	0.782612160190301	0.91222493690002	1.8165165371242e-198	6.46941156024627e-08	160.688274639661
AAK1	0.000135657797060373	0.892235915079281	0	0.239890104331683	395.667820974479
AAMDC	0.0661318100115854	0.860867506796678	9.37407551580943e-08	0.220298664420116	546.024225710589
AAMP	0.016455728801707	0.752219347835584	3.79811534613849e-149	0.0359020995702154	79.8591525510271
AANAT	0.959876779903528	0.366672136185107	1.9845488879865e-114	0.246106773063173	1027.77473227924
AAR2	0.0135093721775886	0.110500816222283	8.11417808383311e-26	9.66529242558746e-10	194.252945478229
AARD	0.930211403329239	0.00242955966476837	0	0.286659817268865	2809.96837738482
AARS	0.00207645705569438	0.0497468252706725	1.19623590721132e-115	0.190298106715459	270.063565068218
AARS2	0.246124493916131	0.0440467200477604	2.47891083332629e-59	0.496460420066272	277.228621983805
AARSD1	0.0352709324874263	0.0370709418172567	3.61467128114416e-164	0.348536803940328	131.006977885916
AASDH	4.19431597133497e-05	0.136168918084069	2.01543956422441e-138	0.130176493726418	176.554650593839
