Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
NCAPG2	89	Hartigans' dip test for unimodality / multimodality	0.0312974411411329	0.8048	white	Prostate	1
NCAPH	89	Hartigans' dip test for unimodality / multimodality	0.0268191398212386	0.9535	white	Prostate	1
NCAPH2	89	Hartigans' dip test for unimodality / multimodality	0.0363218789789272	0.5539	white	Prostate	1
NCBP1	89	Hartigans' dip test for unimodality / multimodality	0.0325851664114218	0.7437	white	Prostate	1
NCBP2	89	Hartigans' dip test for unimodality / multimodality	0.0337112089883724	0.6886	white	Prostate	1
NCBP2L	89	Hartigans' dip test for unimodality / multimodality	0.0879250783951282	0.0000	white	Prostate	0
NCCRP1	89	Hartigans' dip test for unimodality / multimodality	0.0321748141551097	0.7636	white	Prostate	1
NCDN	89	Hartigans' dip test for unimodality / multimodality	0.0358672946150568	0.5771	white	Prostate	1
NCEH1	89	Hartigans' dip test for unimodality / multimodality	0.0301125740826566	0.8514	white	Prostate	1
NCF1	89	Hartigans' dip test for unimodality / multimodality	0.0346253309108728	0.6412	white	Prostate	1
NCF2	89	Hartigans' dip test for unimodality / multimodality	0.0428376475551021	0.2711	white	Prostate	1
NCF4	89	Hartigans' dip test for unimodality / multimodality	0.0494408393585285	0.1053	white	Prostate	1
NCK1	89	Hartigans' dip test for unimodality / multimodality	0.0264373265699028	0.9596	white	Prostate	1
NCK2	89	Hartigans' dip test for unimodality / multimodality	0.029210798227031	0.8868	white	Prostate	1
NCKAP1	89	Hartigans' dip test for unimodality / multimodality	0.0397567547111062	0.3895	white	Prostate	1
NCKAP1L	89	Hartigans' dip test for unimodality / multimodality	0.0442400753751372	0.2256	white	Prostate	1
NCKAP5	89	Hartigans' dip test for unimodality / multimodality	0.0232395979981032	0.9912	white	Prostate	1
NCKAP5L	89	Hartigans' dip test for unimodality / multimodality	0.0275102785142284	0.9371	white	Prostate	1
NCKIPSD	89	Hartigans' dip test for unimodality / multimodality	0.0269598175418698	0.9512	white	Prostate	1
NCL	89	Hartigans' dip test for unimodality / multimodality	0.0313005916399579	0.8047	white	Prostate	1
NCLN	89	Hartigans' dip test for unimodality / multimodality	0.0224719101123595	0.9923	white	Prostate	1
NCMAP	89	Hartigans' dip test for unimodality / multimodality	0.0291157830505405	0.8905	white	Prostate	1
NCOA1	89	Hartigans' dip test for unimodality / multimodality	0.0214519827390058	0.9938	white	Prostate	1
NCOA2	89	Hartigans' dip test for unimodality / multimodality	0.027398647949712	0.9401	white	Prostate	1
NCOA3	89	Hartigans' dip test for unimodality / multimodality	0.0290982714418209	0.8912	white	Prostate	1
NCOA4	89	Hartigans' dip test for unimodality / multimodality	0.0326617514072151	0.7400	white	Prostate	1
