Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
	C16orf3									ARSE
	MYO7B									
	SH3RF2									
	MT-ND1									
	AL590708.2									
	NPIPA7									
	TBX20									
	CLEC18A									
	C6orf100									
	KIAA0319									
	RP11-5A19.5									
