Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
	FBN2			FBN2					PSMG4	PSMG4
	GSTM3			GSTM3					RRP7A	RRP7A
									LRRC37A2	LRRC37A2
									GRB7	GRB7
									GSTO2	GSTO2
									NDNF	NDNF
